season,episode,line,character,dialogue
13,34,0,PIPLUP,[STARTLED] 
13,34,1,PIPLUP,[SLEEPY] 
13,34,2,PIPLUP,[INSISTENT] 
13,34,3,DAWN,Five more minutes... 
13,34,4,PIPLUP,[INSISTENT] 
13,34,5,DAWN,"A little longer, Piplup, please? "
13,34,6,PIPLUP,[PECK MOVE] 
13,34,7,PIPLUP,[URGENT] 
13,34,8,DAWN,"No one knows how to wake me up quite like you do. Piplup, I totally forgot we're back home! "
13,34,9,NARRATOR,"After a startled but joyous wake up in their very own bed at home, Dawn and Piplup get ready to greet the day. the day that Ash and Brock return back to Kanto. It's about you It's about me It's about hope It's about dreams It's about friends that work together To claim their destiny It's about reaching for the skies Pokemon! Given the courage And willing to try It's about never giving up So hold your head up And we will carry on... Sinnoh League Victors Pokemon! "
13,34,10,DAWN,Good morning! 
13,34,11,PIPLUP,[GREETING] 
13,34,12,BROCK,Good morning! 
13,34,13,PIKACHU,[EXCITED] 
13,34,14,JOHANNA,"Good morning, Dawn! "
13,34,15,DAWN,Anyone know where Ash is? 
13,34,16,BROCK,Ash is still fast asleep! 
13,34,17,PIKACHU,[EXASPERATED] 
13,34,18,DAWN,"Wow, Pikachu, you're up early. "
13,34,19,PIKACHU,[AFFIRMATIVE] 
13,34,20,DAWN,Okay you two. I say... we wake Mr. Sleepyhead! 
13,34,21,"PIKACHU, PIPLUP",[EXCITED] 
13,34,22,JOHANNA,"Dawn, you could let him sleep in. "
13,34,23,"PIKACHU, PIPLUP",[FOLLOWING] 
13,34,24,"PIKACHU, PIPLUP",[HESITANT] 
13,34,25,DAWN,"Sound asleep, all right! "
13,34,26,PIPLUP,[HESITANT] 
13,34,27,PIKACHU,[CONFIDENT] 
13,34,28,DAWN,"You wanna do the honors, Pikachu? "
13,34,29,PIKACHU,[AFFIRMATIVE] 
13,34,30,PIKACHU,[HAPPY] 
13,34,31,PIPLUP,[ENCOURAGING] 
13,34,32,PIKACHU,[THUNDERBOLT MOVE] 
13,34,33,PIKACHU,[GREETING] 
13,34,34,ASH,"Oh, hey Pikachu. Good morning! "
13,34,35,DAWN,"There's nothing like a Pikachu-style wake up call, right, Ash? "
13,34,36,DAWN,Somehow I thought you'd want to know it's breakfast time. 
13,34,37,ASH,"Breakfast? Why didn't you say so? Pikachu, let's go! "
13,34,38,PIKACHU,[EXCITED] 
13,34,39,JOHANNA,Oh! 
13,34,40,DAWN,"You okay, Ash? "
13,34,41,ASH,"Believe it or not, no need to worry! "
13,34,42,PIKACHU,[EMBARRASSED] 
13,34,43,PIPLUP,[AMUSED] 
13,34,44,PIKACHU,[FOCUSED] 
13,34,45,JOHANNA,"Boys, the boat to Kanto leaves this afternoon, - so be sure you're not late. - "
13,34,46,ASH,Right! 
13,34,47,BROCK,"I want to make sure I buy plenty of Sinnoh gifts for everyone, so let's get an early start! "
13,34,48,ASH,Good idea! 
13,34,49,DAWN,"Well, you don't have to rush out of here too quickly! "
13,34,50,JOHANNA,I want to thank you two so much for everything you did for Dawn on your journey together. I can't tell you what a wonderful experience it's been for her as a Trainer and coordinator! 
13,34,51,ASH,There's no need to thank us! Traveling with Dawn's been lots of fun! 
13,34,52,DAWN,"So, Ash, do you think you're going to battle in another league again? "
13,34,53,ASH,I don't know yet. First I want to go back to Pallet Town and thank my Pokémon for all the hard work they put in for me! 
13,34,54,JOHANNA,"Also, I'm certain your mother's really looking forward to you returning home! "
13,34,55,JOHANNA,"And the same goes for Brock, of course. - "
13,34,56,ASH,Yeah! - 
13,34,57,BROCK,I hope so. 
13,34,58,DAWN,"Maybe I'll go to Kanto, too! "
13,34,59,PIPLUP,[HOPEFUL] 
13,34,60,ASH,We could go together. 
13,34,61,JOHANNA,"Dawn, I almost forgot! Something came for you in the mail. "
13,34,62,DAWN,For me? - 
13,34,63,JOHANNA,Here! - 
13,34,64,DAWN,Poké Chic? 
13,34,65,JOHANNA,"Remember Hermione, the editor? You met her at the Hearthome Collection. "
13,34,66,DAWN,I do remember! She's that awesome Pokémon Stylist! 
13,34,67,BROCK,Right! That's like a fashion designer for Pokémon! 
13,34,68,ASH,"Not only that, you won the Hearthome Collection along with Buneary! Pikachu and I entered, but... "
13,34,69,DAWN,You two sure got a lot of laughs! 
13,34,70,BROCK,"Though I was much more interested in Paris, the Pokémon Stylist idol. "
13,34,71,CROAGUNK,[POSION JAB MOVE] 
13,34,72,BROCK,Since when is it against the law to dream? 
13,34,73,CROAGUNK,[CROAKING] 
13,34,74,DAWN,"So, what did Hermione have to say? "
13,34,75,JOHANNA,She said she wanted to talk to you about your Buneary. 
13,34,76,DAWN,Yeah? Buneary? 
13,34,77,PIPLUP,[SURPRISED] / [JEALOUS] 
13,34,78,HOOTHOOT,[NOTICING] 
13,34,79,MEOWTH,"Okay kids, make way for the tummy rumble express! "
13,34,80,JAMES,I'm the engine that can't! 
13,34,81,JESSIE,End of the line! 
13,34,82,WOBBUFFET,[WEAK AFFIRMATIVE] 
13,34,83,MEOWTH,We need a groovy gift from the Boss to stoke the old fire. 
13,34,84,"JESSIE, JAMES, MEOWTH",And delivered air mail express... 
13,34,85,JAMES,What's that? 
13,34,86,DELIBIRD,[FOCUSED] 
13,34,87,"JESSE, JAMES , MEOWTH","Delibird, ho! "
13,34,88,JESSIE,With provisions in tow! 
13,34,89,WOBBUFFET,[EXCITED AFFIRMATIVE] 
