season,episode,line,character,dialogue
10,01,0,NARRATOR:," The Sinnoh region! A breathtaking, awe-inspiring corner of the Pokémon world, complete with an amazing array of Pokémon! "
10,01,1,NARRATOR:," Soaring through the air, gliding through the water, "
10,01,2,NARRATOR:," thriving on the land, "
10,01,3,NARRATOR:, and sharing the land with all sorts of peopleworking and playing togetherthe trainingthe battles [ALARM CLOCK BEEPING] 
10,01,4,NARRATOR:," A th birthday is a happily anticipated milestone in many young people's lives, because after that day, their Pokémon journey begins, complete with a new Pokémon as partner! "
10,01,5,NARRATOR:," And this young lady, Dawn, is one of those people, as her th birthday has come and gone, and her Pokémon now waits in the wings! Folllowing A Maiden's Voyage! "
10,01,6,JOHANNA:," Dawn, are you up? "
10,01,7,DAWN:, I am SO up! 
10,01,8,JOHANNA:," Morning, dear! "
10,01,9,DAWN:," Good morning, Mom! "
10,01,10,JOHANNA:, I had a feeling you'd wake up early today. 
10,01,11,DAWN:," Mom, I'm  years old "
10,01,12,DAWN:," Morning, Glameow! "
10,01,13,GLAMEOW:, [SLEEPY] 
10,01,14,JOHANNA:, I hope you finished packing. 
10,01,15,DAWN:," Did it all yesterday! JOHANNA, : And just in case you forgot Did you pack the postcard from Professor Rowan? You won't be able to get your Pokémon without it, or your Pokédex. "
10,01,16,DAWN:," I know, Mom. See? "
10,01,17,DAWN:, I'd never forget this! 
10,01,18,JOHANNA:, Good! 
10,01,19,JOHANNA:," So, have you decided which of those three Pokémon you're going to pick? "
10,01,20,DAWN:, Not yet 
10,01,21,DAWN:, They're all so cute! 
10,01,22,DAWN:," Thing is, I'm sure that any of them would make an awesome partner! I've gotta be smart, though. I wanna be a Top Coordinator like you, Mom! "
10,01,23,JOHANNA:," Then first off, you have to become a great Pokémon Trainer. And a breeder, too! "
10,01,24,JOHANNA:," Please remember, dear, all winning Coordinators first started out as Pokémon Trainers! "
10,01,25,DAWN:," You're right, Mom. That's just what I'll do! MARION, [LILLIAN OF SINNOH]: And now for our next Coordinator! Making her debut, it's Dawn from Twinleaf Town! "
10,01,26,DAWN:," All right, Chimcharspotlight! "
10,01,27,CHIMCHAR:, [APPEARING] 
10,01,28,DAWN:, Nowuse Flame Wheel! 
10,01,29,CHIMCHAR:, [FLAME WHEEL MOVE] 
10,01,30,MARION:, And an astounding Flame Wheel from Chimchar! 
10,01,31,DAWN:," There! What'd you think of that, Mom? "
10,01,32,JOHANNA:," Top Coordinators need to eat breakfast, too "
10,01,33,DAWN:, Or Piplup! Piplup's a Water-type Pokémon 
10,01,34,DAWN:, Piplupspotlight! 
10,01,35,PIPLUP:, [APPEARING] 
10,01,36,DAWN:," Bubble Beam, go! "
10,01,37,PIPLUP:, [BUBBLE BEAM MOVE] 
10,01,38,MARION:, Wow! Now that's the definition of the perfect Bubble Beam! 
10,01,39,JOHANNA:, Can't this wait until after we eat? 
10,01,40,DAWN:," Or Turtwig, a Grass type. "
10,01,41,DAWN:, GoTurtwig! 
10,01,42,TURTWIG:, [APPEARING] 
10,01,43,DAWN:, Use Razor Leaf! 
10,01,44,TURTWIG:, [RAZOR LEAF MOVE] 
10,01,45,DAWN:, Whaddaya think of that? 
